title,book_link,book_image
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",https://www.amazon.com/The-Last-Olympian-Rick-Riordan-audiobook/dp/B0028TY17O/ref=sr_1_1?dchild=1&keywords=The+Last+Olympian+%28Percy+Jackson+and+the+Olympians%2C+Book+5%29&qid=1629097666&s=books&sr=1-1,https://m.media-amazon.com/images/I/51OkCQ-2EPL._AC_UY218_.jpg
"The Lost Hero (Heroes of Olympus, Book 1)",https://www.amazon.com/Heroes-Olympus-Book-One-Lost/dp/B0046Y3IG4/ref=sr_1_1?dchild=1&keywords=The+Lost+Hero+%28Heroes+of+Olympus%2C+Book+1%29&qid=1629097670&s=books&sr=1-1,https://m.media-amazon.com/images/I/91C7LR02+cL._AC_UY218_.jpg
"The Mark of Athena (Heroes of Olympus, Book 3)",https://www.amazon.com/The-Mark-of-Athena-Rick-Riordan-audiobook/dp/B009KHIS6M/ref=sr_1_1?dchild=1&keywords=The+Mark+of+Athena+%28Heroes+of+Olympus%2C+Book+3%29&qid=1629097673&s=books&sr=1-1,https://m.media-amazon.com/images/I/91n+cOfuGNL._AC_UY218_.jpg
The Meltdown (Diary of a Wimpy Kid Book 13),https://www.amazon.com/Meltdown-Diary-Wimpy-Kid-Book/dp/1419741993/ref=sr_1_1?dchild=1&keywords=The+Meltdown+%28Diary+of+a+Wimpy+Kid+Book+13%29&qid=1629097678&s=books&sr=1-1,https://m.media-amazon.com/images/I/71f7THqngmL._AC_UY218_.jpg
The Nightingale: A Novel,https://www.amazon.com/Nightingale-Novel-Kristin-Hannah/dp/1250080401/ref=sr_1_1?dchild=1&keywords=The+Nightingale%3A+A+Novel&qid=1629097682&s=books&sr=1-1,https://m.media-amazon.com/images/I/91KA1B7xWsL._AC_UY218_.jpg
The Pout-Pout Fish,https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979/ref=sr_1_1?dchild=1&keywords=The+Pout-Pout+Fish&qid=1629097686&s=books&sr=1-1,https://m.media-amazon.com/images/I/816hDDySK0L._AC_UY218_.jpg
"The Serpent's Shadow (The Kane Chronicles, Book 3)",https://www.amazon.com/Kane-Chronicles-Book-Three-Serpents-ebook/dp/B006UJXG8S/ref=sr_1_1?dchild=1&keywords=The+Serpent%27s+Shadow+%28The+Kane+Chronicles%2C+Book+3%29&qid=1629097690&s=books&sr=1-1,https://m.media-amazon.com/images/I/91nLindHibL._AC_UY218_.jpg
"The Son of Neptune (Heroes of Olympus, Book 2)",https://www.amazon.com/The-Son-of-Neptune-Rick-Riordan-audiobook/dp/B005SA6308/ref=sr_1_1?dchild=1&keywords=The+Son+of+Neptune+%28Heroes+of+Olympus%2C+Book+2%29&qid=1629097694&s=books&sr=1-1,https://m.media-amazon.com/images/I/91GdvqTMgiL._AC_UY218_.jpg
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",https://www.amazon.com/Diary-Wimpy-Kid-Truth-Cabin/dp/1419715089/ref=sr_1_1?dchild=1&keywords=The+Ugly+Truth+%28Diary+of+a+Wimpy+Kid%2C+Book+5%29&qid=1629097697&s=books&sr=1-1,https://m.media-amazon.com/images/I/5122b6Wq-eL._AC_UY218_.jpg
The Wonky Donkey,https://www.amazon.com/Wonky-Donkey-Craig-Smith/dp/0545261244/ref=sr_1_1?dchild=1&keywords=The+Wonky+Donkey&qid=1629097701&s=books&sr=1-1,https://m.media-amazon.com/images/I/71N4oeWwYlL._AC_UY218_.jpg
